landmarks,label
"0.6502585411071777,0.6509342193603516,-7.046260748211353e-07,0.5879716873168945,0.6440531015396118,-0.016802139580249786,0.5206621289253235,0.544614315032959,-0.018674025312066078,0.5048868656158447,0.4205860495567322,-0.023065021261572838,0.5418586134910583,0.3753325641155243,-0.021403277292847633,0.5528716444969177,0.4288455545902252,0.01507177110761404,0.5318217277526855,0.35798180103302,-0.017377298325300217,0.5426017642021179,0.45187482237815857,-0.03072754666209221,0.5535498261451721,0.48304176330566406,-0.034593336284160614,0.5915260314941406,0.41815638542175293,0.01162432786077261,0.5668833255767822,0.3658638596534729,-0.025213178247213364,0.5780954957008362,0.479187935590744,-0.027006886899471283,0.5902701020240784,0.4949623644351959,-0.016574205830693245,0.628042459487915,0.4158700704574585,0.00015933430404402316,0.6019864678382874,0.3706974387168884,-0.03621470183134079,0.6122061014175415,0.48457926511764526,-0.020253047347068787,0.6252678632736206,0.5023043155670166,0.002637120196595788,0.6695769429206848,0.4139038026332855,-0.013570915907621384,0.6368858814239502,0.38204407691955566,-0.030198359861969948,0.641785740852356,0.4643143117427826,-0.0167545098811388,0.654904842376709,0.4841456115245819,-0.0005231924587860703",Fist
"0.6433297991752625,0.6583235263824463,-6.959085681046417e-07,0.5813953280448914,0.6506063342094421,-0.018364781513810158,0.5173399448394775,0.5486660003662109,-0.021544525399804115,0.5055714249610901,0.4232569634914398,-0.02668861672282219,0.5443578958511353,0.3727935552597046,-0.025510095059871674,0.553041398525238,0.43294757604599,0.012431477196514606,0.5288239121437073,0.3672691285610199,-0.02376118302345276,0.5408633947372437,0.4561556875705719,-0.040249891579151154,0.5529398918151855,0.4840429127216339,-0.04550272598862648,0.592492938041687,0.42543113231658936,0.009604130871593952,0.5668408274650574,0.36814823746681213,-0.029253805056214333,0.5779623985290527,0.48112592101097107,-0.03205474466085434,0.5882456302642822,0.4972265958786011,-0.02172532118856907,0.6288458108901978,0.4251308739185333,-0.0014778160257264972,0.6034848690032959,0.37609371542930603,-0.03983943164348602,0.6125851273536682,0.4918934106826782,-0.0238810945302248,0.6245380640029907,0.5104013085365295,-0.00025707404711283743,0.670939564704895,0.42457038164138794,-0.014908530749380589,0.6398749351501465,0.39040669798851013,-0.03260822594165802,0.6432659029960632,0.4739786386489868,-0.01919633336365223,0.6546449661254883,0.4942014813423157,-0.0024298590142279863",Fist
"0.6432976722717285,0.6752234101295471,-6.224368007679004e-07,0.5831634998321533,0.6603108048439026,-0.022289831191301346,0.5194253921508789,0.5596744418144226,-0.02948969602584839,0.5058508515357971,0.4403451979160309,-0.039241380989551544,0.547694742679596,0.40150830149650574,-0.042746834456920624,0.5539112687110901,0.43375182151794434,0.014957151375710964,0.5351170897483826,0.3635522723197937,-0.021535057574510574,0.5433231592178345,0.4475530683994293,-0.03490319475531578,0.5543196797370911,0.48193663358688354,-0.037035804241895676,0.5942999720573425,0.41980910301208496,0.011939680203795433,0.5728632807731628,0.3775867223739624,-0.028301848098635674,0.5794321298599243,0.4993542730808258,-0.02769516035914421,0.5887417793273926,0.512790858745575,-0.012969095259904861,0.6341798901557922,0.4210476875305176,-0.0007114410400390625,0.614361584186554,0.39901623129844666,-0.04110805690288544,0.6173232793807983,0.5162918567657471,-0.025738172233104706,0.6257492899894714,0.5266125202178955,-0.0012891489313915372,0.6787206530570984,0.42832961678504944,-0.016131335869431496,0.6525406241416931,0.4164022207260132,-0.03365456685423851,0.6509944796562195,0.4986564815044403,-0.021078279241919518,0.6594566702842712,0.5109146237373352,-0.0045221177861094475",Fist
"0.64438796043396,0.6421871185302734,-6.103372811594454e-07,0.5818397998809814,0.6185746192932129,-0.02649191953241825,0.5192432403564453,0.5438379049301147,-0.0414343886077404,0.4903520941734314,0.4650587737560272,-0.05565166473388672,0.5210789442062378,0.42901939153671265,-0.062157656997442245,0.5579882264137268,0.3388073444366455,-0.007508113980293274,0.5196645259857178,0.3624842166900635,-0.040005847811698914,0.5303837060928345,0.44482189416885376,-0.05265513062477112,0.5425146222114563,0.4539632201194763,-0.058406487107276917,0.5980055928230286,0.32125890254974365,-0.010537361726164818,0.5558425784111023,0.4068595767021179,-0.04505918547511101,0.5711827278137207,0.5044544339179993,-0.04432160407304764,0.587175190448761,0.4891926050186157,-0.03529917076230049,0.6397000551223755,0.340670108795166,-0.021130016073584557,0.5995696187019348,0.4413434565067291,-0.053505755960941315,0.6080880165100098,0.5260730385780334,-0.039020996540784836,0.6224170327186584,0.5046346187591553,-0.02141372486948967,0.6798334717750549,0.3777012228965759,-0.03597612306475639,0.6414417624473572,0.4659166634082794,-0.052656300365924835,0.6425134539604187,0.5291547179222107,-0.04551665857434273,0.6549821496009827,0.51536625623703,-0.034935660660266876",Fist
"0.6463410258293152,0.6059080958366394,-4.249575340509182e-07,0.5699090361595154,0.5996487140655518,-0.035607486963272095,0.5052888989448547,0.563245952129364,-0.05953698605298996,0.4640102982521057,0.5251720547676086,-0.07879449427127838,0.4886622428894043,0.4936460554599762,-0.09002672135829926,0.5242687463760376,0.32622474431991577,-0.03426608443260193,0.4899156391620636,0.42105206847190857,-0.062160369008779526,0.5069025158882141,0.4875822067260742,-0.07189865410327911,0.5205869674682617,0.47365331649780273,-0.07809761166572571,0.569310188293457,0.3162875771522522,-0.032059185206890106,0.5319647789001465,0.4574066400527954,-0.059600070118904114,0.5461519360542297,0.5207528471946716,-0.05822277441620827,0.5581492781639099,0.48326972126960754,-0.053616758435964584,0.6141725778579712,0.344224750995636,-0.03538820892572403,0.5765628218650818,0.4870193898677826,-0.058283597230911255,0.5864457488059998,0.5400574803352356,-0.04401485249400139,0.6008075475692749,0.5078026056289673,-0.031430862843990326,0.6531657576560974,0.3917500376701355,-0.04376046732068062,0.6204330325126648,0.5102760195732117,-0.058470066636800766,0.6257692575454712,0.5450122952461243,-0.05416404828429222,0.6384677886962891,0.5172725319862366,-0.04731786996126175",Fist
"0.6649525761604309,0.5809187889099121,-2.9344448648771504e-07,0.5830462574958801,0.6073769927024841,-0.03836410120129585,0.513898491859436,0.6190304756164551,-0.06841133534908295,0.47201111912727356,0.6249166131019592,-0.09209370613098145,0.5049859285354614,0.5992434024810791,-0.10927911102771759,0.5051130652427673,0.3780463635921478,-0.05100866034626961,0.48794111609458923,0.5276050567626953,-0.07832354307174683,0.5114241242408752,0.5766077637672424,-0.08955863118171692,0.5190613269805908,0.5481377840042114,-0.09778579324483871,0.5599200129508972,0.37043532729148865,-0.04985687881708145,0.5370339751243591,0.5671812295913696,-0.07318071275949478,0.5548161864280701,0.5961999893188477,-0.07067876309156418,0.5589613914489746,0.5474591255187988,-0.06800636649131775,0.6127862334251404,0.40131455659866333,-0.05295885354280472,0.5880186557769775,0.5937319397926331,-0.07167511433362961,0.5950301885604858,0.6103910207748413,-0.0553441159427166,0.5993899703025818,0.5639451742172241,-0.04270906001329422,0.656654953956604,0.45300596952438354,-0.06116665154695511,0.6317592859268188,0.6063094735145569,-0.07679152488708496,0.6377644538879395,0.609198808670044,-0.07128684222698212,0.6442247033119202,0.5652259588241577,-0.06355161964893341",Fist
"0.670892596244812,0.562612771987915,-2.7721969786398404e-07,0.5904024839401245,0.5986942052841187,-0.03121798485517502,0.5275713801383972,0.6266060471534729,-0.061185698956251144,0.4854673445224762,0.656536877155304,-0.08608067780733109,0.5044150352478027,0.6425774693489075,-0.10552093386650085,0.5034568309783936,0.4009968936443329,-0.05094590410590172,0.49075818061828613,0.5584800243377686,-0.07761043310165405,0.5193030834197998,0.5994438529014587,-0.08981288224458694,0.5278792381286621,0.5666005611419678,-0.09933580458164215,0.5585081577301025,0.39225852489471436,-0.053963515907526016,0.5397567749023438,0.5997804403305054,-0.07514701038599014,0.5611612200737,0.6196478009223938,-0.0729081854224205,0.5653766989707947,0.5668740272521973,-0.07264682650566101,0.6124875545501709,0.4210374653339386,-0.06013260781764984,0.5913805365562439,0.6241862773895264,-0.07521999627351761,0.6018067002296448,0.634414792060852,-0.058428213000297546,0.6053638458251953,0.5840261578559875,-0.04821781441569328,0.6579319834709167,0.4706159234046936,-0.07074973732233047,0.6364321708679199,0.6336874961853027,-0.08258463442325592,0.6424521803855896,0.6305013298988342,-0.07527440786361694,0.6456648111343384,0.580475926399231,-0.06854037940502167",Fist
"0.6557707786560059,0.5994147658348083,-3.164670943078818e-07,0.5754196643829346,0.6347294449806213,-0.03118007630109787,0.5037416219711304,0.6553828716278076,-0.05617295950651169,0.455649733543396,0.6771895885467529,-0.07610711455345154,0.47124791145324707,0.6686933040618896,-0.09073618054389954,0.49756956100463867,0.44004619121551514,-0.04535597190260887,0.48512622714042664,0.6019832491874695,-0.06804928183555603,0.5134245753288269,0.6381545662879944,-0.07713588327169418,0.5243639945983887,0.6058331727981567,-0.08455067873001099,0.5529323816299438,0.42931023240089417,-0.04722977802157402,0.5337745547294617,0.6362409591674805,-0.06685646623373032,0.5543344616889954,0.6512106657028198,-0.06479676812887192,0.5608072876930237,0.6021506786346436,-0.06441313773393631,0.6068335771560669,0.4579858183860779,-0.052295926958322525,0.5853036642074585,0.6601013541221619,-0.06955327838659286,0.5967235565185547,0.664709210395813,-0.056409843266010284,0.6016088724136353,0.6156593561172485,-0.04725264385342598,0.6537603139877319,0.5044247508049011,-0.06125965714454651,0.6299695372581482,0.6619243025779724,-0.0749330073595047,0.6353751420974731,0.657336950302124,-0.06991789489984512,0.6393042802810669,0.6112530827522278,-0.06435686349868774",Fist
"0.6564638614654541,0.5991983413696289,-2.930405287315807e-07,0.5723094940185547,0.6365373730659485,-0.029117323458194733,0.4984629452228546,0.6621556282043457,-0.054192617535591125,0.4513668119907379,0.690032422542572,-0.07457086443901062,0.47512802481651306,0.6793572306632996,-0.08967011421918869,0.49235743284225464,0.4497887194156647,-0.04367971420288086,0.4816625714302063,0.6081358790397644,-0.06348884105682373,0.5072516202926636,0.6441754102706909,-0.07096873223781586,0.5151460766792297,0.6126860976219177,-0.07812684774398804,0.5478097796440125,0.4391283690929413,-0.046817224472761154,0.5306649804115295,0.6454645395278931,-0.064345583319664,0.5492021441459656,0.6573415994644165,-0.06173087656497955,0.5536991357803345,0.6058056950569153,-0.06177616864442825,0.6019808053970337,0.46531203389167786,-0.052817437797784805,0.5825248956680298,0.6673515439033508,-0.0665663555264473,0.591812014579773,0.6707364320755005,-0.053376663476228714,0.5943232774734497,0.620435893535614,-0.04553864896297455,0.6490205526351929,0.5095854997634888,-0.06285851448774338,0.6283915042877197,0.667244553565979,-0.07268466800451279,0.6332703232765198,0.6612080335617065,-0.06694347411394119,0.6356505751609802,0.6140885353088379,-0.062218569219112396",Fist
"0.6211543679237366,0.6154683828353882,-2.715594575875002e-07,0.59207683801651,0.519100546836853,-0.015592559240758419,0.5206272602081299,0.44738638401031494,-0.03505810350179672,0.4491286277770996,0.45355042815208435,-0.051454342901706696,0.4039977490901947,0.4709864556789398,-0.06398246437311172,0.5291405320167542,0.3361489772796631,-0.04672078788280487,0.429992139339447,0.396580308675766,-0.0763486847281456,0.45427241921424866,0.4467599391937256,-0.08482708036899567,0.48131564259529114,0.43560439348220825,-0.08805213868618011,0.5357871055603027,0.3985089659690857,-0.05248841643333435,0.43169334530830383,0.47905275225639343,-0.08265487849712372,0.4643343389034271,0.5130742788314819,-0.0795065388083458,0.4914921820163727,0.4960612654685974,-0.07576393336057663,0.5370163917541504,0.47707638144493103,-0.05912688747048378,0.4421332776546478,0.5569061040878296,-0.08368313312530518,0.47584816813468933,0.5809556245803833,-0.06677763164043427,0.50527423620224,0.560446560382843,-0.053958553820848465,0.5355088710784912,0.5598617792129517,-0.06658852845430374,0.4566617012023926,0.6190054416656494,-0.0862022265791893,0.4874812364578247,0.6323173642158508,-0.07732018828392029,0.5179709792137146,0.6128420829772949,-0.06784019619226456",Fist
